abstracts,title
"We investigated the role of DGCR2, a corticogenesis-related gene, on schizophrenia (SZ) and its subphenotypes, including brain morphology. A total of 221 SZ patients, 263 controls and 70 antipsychotic-naive first episode of psychosis (FEP) were genotyped for 17 DGCR2 polymorphisms. While no association between DGCR2 polymorphisms and SZ was found, the missense variant rs2072123 was associated to left rostral anterior cingulate thickness, showing that DGCR2 seems not to be associated directly with the SZ but might be influencing the brain morphology. We also showed a DGCR2 downregulation in SZ patients when compared to controls and FEP.",DGCR2 influences cortical thickness through a mechanism independent of schizophrenia pathogenesis.
"The majority of studies of genetic association with disease have been performed in Europeans. This European bias has important implications for risk prediction of diseases across global populations. In this commentary, we justify the need to study more diverse populations using both empirical examples and theoretical reasoning.",The Missing Diversity in Human Genetic Studies.
"Coronary artery disease represents the leading cause of death worldwide, sparing no nation, ethnicity, or economic stratum. Coronary artery disease is partly heritable. While enormous effort has been devoted to understanding the genetic basis of coronary artery disease and other common, complex cardiovascular diseases, key challenges have emerged in gene discovery, in understanding how DNA variants connect to function, and in translation of genetics to the clinic. We discuss these challenges as well as promising opportunities to bring the work closer to fruition.","Genetics of Common, Complex Coronary Artery Disease."
"Importance: Mailing fecal immunochemical test (FIT) kits to patients' homes has been shown to boost colorectal cancer screening rates, but response rates remain limited, and organized programs typically require repeated outreach attempts. Behavioral economics has shown that offering salient financial incentives to patients may increase participation in preventive health. Objective: To compare the impact of different financial incentives for mailed FIT outreach. Design, Setting, and Participants: This 4-parallel-arm randomized clinical trial included patients aged 50 to 75 years who had an established primary care clinician, at least 2 visits in the prior 2 years, and were eligible for colorectal cancer screening and not up-to-date. This study was conducted at urban primary care practices at an academic health system from December 2015 to February 2018. Data analysis was conducted from March 2018 to September 2018. Interventions: Eligible patients received a letter from their primary care clinician that included a mailed FIT kit and instructions for use. They were randomized in a 1:1:1:1 ratio to receive (1) no financial incentive; (2) an unconditional $10 incentive included with the mailing; (3) a $10 incentive conditional on FIT completion; or (4) a conditional lottery with a 1-in-10 chance of winning $100 after FIT completion. Main Outcomes and Measures: Fecal immunochemical test completion within 2 and 6 months of initial outreach. Results: A total of 897 participants were randomized, with a median age of 57 years (interquartile range, 52-62 years); 56% were women, and 69% were black. The overall completion rate across all arms was 23.5% at 2 months. The completion rate at 2 months was 26.0% (95% CI, 20.4%-32.3%) in the no incentive arm, 27.2% (95% CI, 21.5%-33.6%) in the unconditional incentive arm, 23.2% (95% CI, 17.9%-29.3%) in the conditional incentive arm, and 17.7% (95% CI, 13.0%-23.3%) in the lottery incentive arm. None of the arms with an incentive were statistically superior to the arm without incentive. The overall FIT completion rate across all arms was 28.9% at 6 months, and there was also no difference by arm. The completion rate at 6 months was 32.7% (95% CI, 26.6%-39.3%) in the no incentive arm, 31.7% (95% CI, 25.7%-38.2%) in the unconditional incentive arm, 26.8% (95% CI, 21.1%-33.1%) in the conditional incentive arm, and 24.3% (95% CI, 18.9%-30.5%) in the lottery incentive arm. Conclusions and Relevance: Mailed FIT resulted in high colorectal cancer screening response rates in this population, but different forms of financial incentives of the same expected value ($10) did not incrementally increase FIT completion rates. The incentive value may have been too small or financial incentives may not be effective in this context. Trial Registration: ClinicalTrials.gov Identifier: NCT02594150.",Effect of Financial Incentives on Patient Use of Mailed Colorectal Cancer Screening Tests: A Randomized Clinical Trial.
"Importance: The language of medical research appears to be intrinsically tied to the culture of medical research and provides a unique window into broader trends in the culture of medicine. Objective: To analyze medical language from 5 premier medical journals and investigate broader changes in the culture of clinical investigation during the last 40 years. Design, Setting, and Participants: In this qualitative study using a data-driven analysis, 302 293 PubMed records were extracted from JAMA, The Lancet, Annals of Internal Medicine, the BMJ, and New England Journal of Medicine from January 1, 1976, through December 31, 2015, to identify key trends in medical language. A frequency analysis was applied across the 40-year time frame in JAMA to assess the major trends in all publication types. Patient-centered language was analyzed in clinical trials in the flanking time periods (1976-1980 and 2011-2015) across the 5 journals. Data were analyzed from November 16, 2016, through November 9, 2018. Main Outcomes and Measures: Increasing or decreasing frequency of words (monograms) and word pairs (bigrams) and the proportion of patient-centric words in journal article titles. Results: In JAMA, 50277 articles of all publication types were included. In the frequency analysis, the most increased terms were reflective of the language of epidemiological research. The bigram analysis revealed a decline in causal language (-2.42/100 000 words to -2.03/100000 words; false discovery rate [FDR], <0.01) and an increased description of patients in the plural form (6.92/100 000 words to 11.4/100000 words; FDR, <0.01). A trend to separate patient from disease was observed; for example, there was a decrease in describing a patient as a diabetic (-2.21/100000 words; FDR, <0.01) compared with a patient with diabetes. In the analysis of clinical trials in all 5 journals, 3125 titles were identified (range, 193-932 per journal). In 4 of the 5 journals, use of patient-centric keywords increased significantly (absolute increase, 18.9%-34.3%; P < .001 for 3 journals; P = .01 for 1 journal), with the New England Journal of Medicine as the exception. This finding reflects a change from shorter disease-centric titles to longer titles that describe patients with a disease. Conclusions and Relevance: Trends in medical language reflect the rise of evidence-based medicine, a shift in focus from individuals to populations, and a separation of patient and disease. Data-driven analysis of medical language provides a unique window into the changing landscape of medical culture.","Trends in the Use of Common Words and Patient-Centric Language in the Titles of Medical Journals, 1976-2015."
"OBJECTIVE: To evaluate the efficacy of computer-assisted forms of cognitive-behavior therapy for major depressive disorder (MDD) and examine the role of clinician support and other factors that might affect outcomes. DATA SOURCES: Ovid MEDLINE, PsycINFO, PubMed, and Scopus from their beginnings to July 18, 2016. Keywords were ""randomized, controlled trials of computer-assisted cognitive-behavior therapy for depression"" and ""randomized, controlled trials of mobile apps for cognitive-behavior therapy of depression."" STUDY SELECTION: Of 223 studies identified in the search, 183 were excluded yielding a sample of 40 randomized, controlled investigations of computer-assisted cognitive-behavior therapy (CCBT) for depression. DATA EXTRACTION: Data were abstracted independently by two authors, and consensus was reached by discussion with a third author. RESULTS: The overall mean effect size for CCBT compared to control conditions was g = 0.502, a moderately large effect. Studies that provided support from a clinician or other person yielded significantly larger effects (g = 0.673) than studies in which no support was provided (g = 0.239). Completion rate and study setting also influenced outcomes. Lower mean effect sizes were observed in studies with lower completion rates and in studies conducted in primary care practices. CONCLUSIONS: CCBT with a modest amount of support from a clinician or other helping person was found to be efficacious with relatively large mean effect sizes on measures of depressive symptoms. Self-guided CCBT for depression was considerably less effective. Future research should focus on enhancing the implementation of CCBT, including evaluating the amount and type of support needed for effective delivery, methods to improve engagement with computer-assisted therapies, and ways to improve treatment outcome in primary care settings.",Computer-Assisted Cognitive-Behavior Therapy for Depression: A Systematic Review and Meta-Analysis.
"Studies suggest that individuals with autism spectrum disorder (ASD) exhibit altered electrophysiological alpha to gamma phase-amplitude coupling (PAC). Preliminary reports with small samples report conflicting findings regarding the directionality of the alpha to gamma PAC alterations in ASD. The present study examined resting-state activity throughout the brain in a relatively large sample of 119 children with ASD and 47 typically developing (TD) children. Children with ASD demonstrated regionally specific abnormalities in alpha to low-gamma PAC, with increased alpha to low-gamma PAC for a central midline source and decreased PAC at lateral sources. Group differences in local gamma-band power did not account for the regional group differences in alpha to low-gamma PAC. Moreover, local alpha power did not significantly modulate alpha to low-gamma PAC estimates. Finally, PAC estimates were correlated with SRS indicating clinical relevance of the PAC metric. In conclusion, alpha to low-gamma PAC alterations in ASD demonstrate a heterogeneous spatial profile consistent with previous studies and were related to symptom severity.",Children with ASD demonstrate regionally specific altered resting-state phase-amplitude coupling.
"PNH is the most common clonal hematopoietic disorder arising in patients with aAA. PNH is caused by mutations in PIGA, a gene that encodes the catalytic subunit of an enzyme involved in the biosynthesis of GPI anchors, transmembrane glycolipids required for cell surface expression of many proteins. PNH clones likely arise as immune escape mechanisms in aAA by preventing CD1D-restricted T-cell recognition of GPI anchors and GPI-linked autoantigens. Though many patients with aAA treated with IST will develop subclinical PNH clones, only a subset will develop PNH disease, characterized by increased thrombosis, intravascular hemolysis, and potential for severe organ dysfunction. In contrast to IST, allogeneic HSCT for patients with aAA is thought to cure bone marrow aplasia and prevent hematopoietic clonal evolution to PNH. Herein, we present a phenomenon of host-derived PNH disease arising in a patient with aAA many years following MSD-BMT, highlighting the importance of monitoring for this clonal disease in aAA patients with stable mixed donor/recipient chimerism after HSCT. We also provide a literature review for similar occurrences of PNH arising after HSCT.",Development of hemolytic paroxysmal nocturnal hemoglobinuria without graft loss following hematopoietic stem cell transplantation for acquired aplastic anemia.
"BACKGROUND: Identifying brain activity patterns that are associated with suicidal ideation (SI) may help to elucidate its pathogenesis and etiology. Suicide poses a significant public health problem, and SI is a risk factor for suicidal behavior. METHODS: Forty-one unmedicated adult participants in a major depressive episode (MDE), 26 with SI on the Beck Scale for Suicidal Ideation and 15 without SI, underwent resting-state functional magnetic resonance imaging scanning. Twenty-one healthy volunteers (HVs) were scanned for secondary analyses. Whole brain analysis of both amplitude of low-frequency fluctuations (ALFFs) and fractional ALFF was performed in MDE subjects to identify regions where activity was associated with SI. RESULTS: Subjects with SI had greater ALFF than those without SI in two clusters: one in the right hippocampus and one in the thalamus and caudate, bilaterally. Multi-voxel pattern analysis distinguished between those with and without SI. Post hoc analysis of the mean ALFF in the hippocampus cluster found it to be associated with a delayed recall on the Buschke memory task. Mean ALFF from the significant clusters was not associated with depression severity and did not differ between MDE and HV groups. DISCUSSION: These results indicate that SI is associated with altered resting-state brain activity. The pattern of elevated activity in the hippocampus may be related to how memories are processed.",Resting-state amplitude of low-frequency fluctuation is associated with suicidal ideation.
"Previous studies assumed a uniform relationship between heat and kidney stone presentations. Determining whether sex and other characteristics modify the temperature dependence of kidney stone presentations has implications for explaining differences in nephrolithiasis prevalence and improving projections of the effect of climate change on nephrolithiasis. We performed an aggregated case-crossover study among 132,597 children and adults who presented with nephrolithiasis to 68 emergency departments throughout South Carolina from 1997 to 2015. We used quasi-Poisson regression with distributed lag non-linear models to estimate sex differences in the cumulative exposure and lagged response between maximum daily wet-bulb temperatures and emergent kidney stone presentations, aggregated at the ZIP-code level. We also explored interactions by age, race, payer, and climate. Compared to 10 degrees C, daily wet-bulb temperatures at the 99th percentile were associated with a greater increased relative risk (RR) of kidney stone presentations over 10 days for males (RR 1.73; 95% CI 1.56, 1.91) than for females (RR 1.15; 95% CI 1.01, 1.32; interaction P < 0.001). The shape of the lagged response was similar for males and females, with the greatest risk estimated for the 2 days following high temperatures. There were weak differences by age, race, and climatic zone, and no differences by payer status. The estimated risk of presenting emergently with kidney stones within 10 days of high daily wet-bulb temperatures was substantially greater among men than women, and similar between patients with public and private insurance. These findings suggest that the higher risk among males may be due to sexually dimorphic physiologic responses rather than greater exposure to ambient temperatures.",Sex differences in the temperature dependence of kidney stone presentations: a population-based aggregated case-crossover study.
